user_id,QoS_bandwidth,QoS_delay,QoS_jitter,QoA_VLCresolution,QoA_BUFFERINGtime,V_content,V_complexity-class,QoD_model,QoU_sex,QoU_age,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS,QoA_VLCbitrate
71,1024,0.36,0.043,360,683,1,0,6,1,20,3,5,3,4,3,528
46,1024,0.435,0.071,360,690,1,0,2,1,25,4,5,5,5,5,403
44,1024,0.403,0.033,360,840,1,0,3,1,22,3,5,4,4,4,736
133,1024,0.499,0.018,240,868,1,0,5,1,31,4,5,5,5,5,529
22,1024,0.472,0.034,360,869,1,0,3,0,26,5,5,4,5,5,736
13,1024,0.334,0.028,360,873,1,0,2,1,29,5,5,4,5,4,529
52,1024,0.348,0.043,360,876,1,0,4,1,26,4,5,5,5,5,658
26,1536,0.289,0.037,360,887,1,0,2,1,33,3,5,5,4,4,565
42,1536,0.439,0.036,360,890,1,0,6,1,26,2,5,4,4,3,567
38,1536,0.486,0.078,360,912,1,0,2,0,19,4,5,4,5,4,217
35,1536,0.354,0.065,360,916,1,0,4,0,37,4,4,4,4,4,755
35,1024,0.48,0.065,360,916,2,2,4,0,37,4,4,4,4,4,755
93,1536,0.395,0.07,360,927,2,2,4,0,19,4,5,5,5,5,565
33,1536,0.432,0.046,360,927,1,0,4,1,26,3,5,4,4,4,573
93,1536,0.483,0.064,360,929,1,0,1,0,19,4,5,5,5,5,1636
94,2048,0.45,0.033,360,940,1,0,4,0,26,4,5,5,5,5,491
42,1536,0.487,0.036,360,942,1,0,6,1,26,4,5,5,5,5,490
47,2048,0.31,0.048,360,944,1,0,2,1,26,3,5,5,5,5,300
73,2048,0.304,0.043,360,950,1,0,6,1,18,4,3,3,3,3,755
37,1024,0.41,0.053,360,959,1,0,3,1,21,3,4,4,4,4,409
55,2048,0.332,0.032,360,969,1,0,6,1,44,4,5,5,5,5,606
38,2048,0.487,0.042,360,972,1,0,3,0,19,4,5,5,5,5,736
83,2048,0.324,0.041,360,978,1,0,2,1,30,3,4,3,4,3,444
54,2048,0.403,0.06,360,985,1,0,6,1,27,3,5,5,5,5,408
34,2048,0.487,0.062,360,990,1,0,6,1,26,4,3,3,4,4,597
18,2048,0.48,0.048,360,991,1,0,3,1,33,3,5,5,5,5,551
91,2048,0.407,0.061,360,993,1,0,1,1,21,4,5,4,5,4,551
54,2048,0.334,0.028,360,999,1,0,4,1,27,3,5,3,3,4,391
38,2048,0.435,0.093,360,1002,1,0,4,0,19,4,5,5,5,5,463
153,2048,0.386,0.052,360,1028,2,2,2,0,38,4,5,4,4,4,151
80,3072,0.454,0.051,360,1033,1,0,6,1,21,2,5,4,4,3,462
37,2048,0.335,0.036,360,1036,2,2,3,1,21,4,5,5,5,5,454
75,1024,0.393,0.026,360,1036,1,0,3,1,17,4,5,5,4,5,708
5,2048,0.444,0.084,360,1051,2,2,3,1,24,4,3,4,2,3,400
36,3072,0.324,0.032,360,1079,1,0,6,1,38,4,4,4,4,4,834
89,1024,0.426,0.049,360,1082,2,2,1,0,23,3,5,4,4,4,558
41,2560,0.302,0.054,240,1082,2,2,3,1,23,4,5,4,5,4,176
66,2560,0.415,0.054,360,1082,2,2,3,0,23,3,3,4,4,4,463
99,2048,0.489,0.072,360,1082,1,0,3,1,44,5,4,3,4,3,662
72,3072,0.273,0.023,360,1086,1,0,6,1,20,3,4,5,5,5,604
36,2048,0.304,0.043,360,1086,1,0,6,1,38,5,5,5,4,5,596
6,3584,0.49,0.054,360,1095,1,0,1,0,26,2,3,4,3,4,630
58,1024,0.286,0.048,360,1097,2,2,6,1,44,4,5,4,4,4,552
156,3584,0.439,0.036,360,1098,2,2,7,0,34,4,5,5,5,5,1262
43,2560,0.395,0.07,240,1100,1,0,6,1,21,2,4,3,4,3,119
144,3584,0.358,0.045,240,1112,1,0,8,1,41,5,5,5,5,5,492
42,3072,0.424,0.05,360,1114,2,2,6,1,26,4,5,4,4,4,551
58,3584,0.307,0.049,360,1120,1,0,6,1,44,3,5,4,3,3,817
82,3072,0.447,0.056,360,1120,2,2,2,1,26,4,5,4,4,4,196
36,3072,0.334,0.065,360,1132,2,2,6,1,38,3,5,4,4,5,729
132,3584,0.285,0.054,360,1138,2,2,5,1,30,4,5,4,4,4,221
90,4096,0.328,0.039,360,1138,1,0,1,1,44,4,4,3,2,2,571
11,4608,0.444,0.049,360,1144,1,0,6,1,27,3,5,4,4,4,578
7,3584,0.379,0.073,360,1147,1,0,2,0,28,4,5,5,4,5,392
5,4096,0.455,0.033,360,1171,2,2,3,1,24,4,5,4,4,4,395
35,1536,0.48,0.065,360,1171,1,0,4,0,37,4,3,4,2,3,626
8,3072,0.358,0.045,360,1175,1,0,6,1,23,4,5,4,4,4,382
28,1024,0.295,0.047,360,1179,2,2,3,0,28,5,5,4,4,5,529
90,1536,0.393,0.054,360,1183,1,0,1,1,44,4,4,4,4,4,474
92,1536,0.395,0.07,360,1189,1,0,4,1,25,4,5,5,5,4,245
128,3072,0.33,0.052,360,1191,1,0,5,1,27,5,5,5,5,4,392
137,1024,0.394,0.045,360,1197,2,2,5,1,26,4,5,4,4,4,410
130,3072,0.49,0.054,360,1199,1,0,5,1,29,4,5,4,4,4,553
45,3072,0.465,0.032,360,1199,1,0,2,1,23,3,5,5,4,5,579
52,3072,0.456,0.042,360,1201,1,0,2,1,26,4,5,5,5,5,400
133,3584,0.495,0.043,360,1209,1,0,5,1,31,4,5,4,4,4,233
41,1536,0.502,0.063,360,1215,2,2,3,1,23,4,5,5,5,5,196
137,3072,0.346,0.096,360,1216,1,0,5,1,26,4,4,2,3,2,83
67,1536,0.341,0.044,360,1222,2,2,2,1,26,5,5,5,5,5,218
55,1024,0.497,0.045,360,1225,2,2,2,1,44,3,4,4,3,4,299
4,2560,0.489,0.082,360,1226,1,0,3,1,38,5,5,5,5,5,552
56,3584,0.411,0.032,360,1226,1,0,6,1,27,4,5,5,5,5,392
89,1536,0.407,0.063,360,1243,1,0,6,0,23,3,5,4,5,4,245
24,3584,0.435,0.071,360,1247,1,0,6,1,23,3,3,3,4,3,756
6,1024,0.292,0.047,360,1253,1,0,1,0,26,4,5,5,5,5,399
8,3584,0.514,0.068,360,1257,1,0,6,1,23,2,5,4,4,5,473
7,3584,0.502,0.058,360,1259,1,0,2,0,28,4,4,3,4,3,392
88,3072,0.379,0.058,360,1265,1,0,1,1,24,4,5,4,4,4,408
10,3072,0.379,0.058,240,1267,1,0,6,0,25,2,5,4,4,3,71
134,3584,0.322,0.055,360,1270,1,0,5,1,26,5,5,5,5,5,235
135,4096,0.346,0.096,360,1272,1,0,5,1,25,4,5,4,4,4,48
135,3584,0.319,0.05,360,1274,1,0,5,1,25,4,5,4,3,4,400
80,4096,0.39,0.059,360,1275,1,0,6,1,21,3,5,4,4,4,401
33,4096,0.465,0.032,360,1276,1,0,3,1,26,5,5,4,5,5,187
60,2048,0.39,0.059,360,1280,1,0,6,1,38,4,4,4,5,4,397
99,4096,0.376,0.046,360,1286,1,0,3,1,44,3,5,5,4,4,196
69,4096,0.465,0.071,360,1288,1,0,3,1,21,4,5,4,4,4,708
137,4096,0.477,0.05,360,1296,1,0,5,1,26,5,5,1,1,1,75
151,4096,0.344,0.049,360,1296,1,0,7,1,33,4,5,3,2,3,396
138,4096,0.496,0.116,360,1308,1,0,3,1,26,4,5,4,4,4,300
100,3584,0.33,0.027,360,1310,1,0,6,1,52,4,4,3,2,4,579
42,3072,0.487,0.042,360,1310,1,0,6,1,26,2,3,5,4,3,708
43,3584,0.392,0.045,360,1319,1,0,6,1,21,4,5,5,5,5,438
22,4096,0.455,0.033,240,1334,1,0,3,0,26,5,4,3,3,4,119
121,4608,0.495,0.043,360,1335,1,0,5,1,30,4,5,4,3,4,655
80,4096,0.465,0.071,360,1338,1,0,6,1,21,4,5,4,5,4,194
92,4096,0.455,0.033,360,1344,1,0,4,1,25,4,5,4,4,4,392
90,3584,0.333,0.034,360,1345,1,0,4,1,44,4,5,4,4,4,568
136,4096,0.292,0.047,360,1345,1,0,4,1,31,4,3,3,3,3,235
56,3584,0.312,0.049,360,1350,2,2,6,1,27,3,5,4,4,4,633
10,4096,0.444,0.049,360,1350,1,0,3,0,25,3,5,4,5,4,474
34,4096,0.477,0.05,360,1351,1,0,3,1,26,4,5,4,5,4,300
71,4608,0.435,0.049,360,1367,1,0,2,1,20,3,5,4,2,3,396
91,3584,0.377,0.056,360,1368,1,0,4,1,21,4,5,4,4,4,195
34,3584,0.322,0.055,360,1371,1,0,6,1,26,2,4,3,2,3,392
59,4096,0.334,0.065,360,1371,1,0,6,1,31,4,5,2,3,4,393
93,2048,0.339,0.035,360,1385,1,0,5,0,19,4,5,4,4,4,217
21,1536,0.301,0.037,360,1386,1,0,3,0,27,5,5,5,5,5,196
40,2048,0.438,0.04,360,1388,1,0,2,1,21,4,5,4,4,4,607
19,2048,0.408,0.033,360,1389,1,0,2,1,27,3,4,3,4,3,654
59,4096,0.496,0.116,360,1398,2,2,6,1,31,4,4,3,1,3,733
80,4096,0.307,0.049,360,1402,2,2,6,1,21,3,5,4,4,4,721
17,2048,0.48,0.074,360,1403,1,0,3,1,39,4,4,4,3,4,400
69,2048,0.469,0.066,360,1404,1,0,2,1,21,4,5,4,4,4,471
23,1536,0.37,0.035,360,1404,1,0,3,1,27,3,5,3,4,4,396
79,4608,0.328,0.039,360,1405,2,2,6,1,25,3,5,4,4,4,704
37,1536,0.303,0.065,360,1406,1,0,2,1,21,4,5,5,5,5,464
28,3584,0.33,0.052,360,1413,2,2,3,0,28,4,5,4,4,4,392
45,2048,0.505,0.051,360,1415,1,0,2,1,23,4,5,5,5,5,472
137,2048,0.303,0.065,360,1418,1,0,5,1,26,5,5,4,4,4,391
124,2048,0.416,0.07,360,1421,1,0,5,1,30,4,5,4,3,4,587
161,2048,0.305,0.061,360,1431,1,0,1,0,45,3,3,1,2,1,75
92,4096,0.407,0.063,240,1431,2,2,4,1,25,4,5,4,3,3,314
32,1536,0.534,0.053,360,1437,1,0,3,0,37,5,5,5,4,5,491
145,4608,0.495,0.043,360,1438,2,2,3,1,25,5,3,4,3,4,1719
21,4608,0.344,0.049,360,1447,2,2,6,0,27,2,5,5,5,5,454
162,4608,0.39,0.059,360,1448,2,2,1,0,50,4,5,4,5,4,150
80,1024,0.328,0.052,360,1449,1,0,6,1,21,2,5,4,4,3,523
5,4096,0.465,0.032,360,1451,2,2,3,1,24,4,5,5,5,5,578
53,4096,0.435,0.049,360,1453,2,2,6,1,24,3,5,5,5,4,383
142,1024,0.308,0.055,360,1454,1,0,5,1,36,5,5,3,3,4,235
92,2048,0.449,0.047,360,1454,1,0,4,1,25,4,5,3,4,4,554
151,1024,0.3,0.039,360,1455,1,0,5,1,33,5,5,3,3,3,94
130,1536,0.436,0.046,360,1462,1,0,5,1,29,3,5,5,5,5,336
19,2048,0.497,0.045,360,1466,1,0,3,1,27,5,5,5,4,5,413
64,2048,0.415,0.054,360,1469,1,0,4,1,26,4,5,4,4,4,631
31,2048,0.477,0.057,360,1471,1,0,2,1,25,3,5,4,4,4,398
64,1024,0.323,0.037,360,1471,1,0,2,1,26,4,3,3,4,4,392
102,2048,0.292,0.037,360,1475,1,0,5,1,19,4,5,4,4,4,473
50,2048,0.481,0.041,360,1477,1,0,4,1,25,4,5,4,4,4,726
144,1024,0.482,0.082,360,1479,1,0,4,1,41,5,5,3,3,4,166
25,1024,0.305,0.047,360,1482,1,0,2,0,28,3,5,4,4,4,737
46,1536,0.371,0.08,360,1485,1,0,2,1,25,4,5,4,4,4,412
134,1536,0.494,0.067,360,1492,1,0,5,1,26,5,5,5,5,5,482
25,2048,0.487,0.062,360,1495,1,0,2,1,28,3,5,4,2,4,564
38,2048,0.326,0.061,360,1495,1,0,2,0,19,4,5,5,5,5,578
139,2048,0.328,0.039,360,1496,1,0,5,1,39,5,5,3,4,3,235
153,2048,0.379,0.073,360,1496,1,0,2,0,38,4,5,3,4,4,737
21,2048,0.307,0.049,360,1505,1,0,6,0,27,2,5,5,5,5,579
144,2048,0.421,0.058,360,1505,1,0,8,1,41,5,5,3,4,3,294
10,2048,0.399,0.07,360,1507,1,0,2,0,25,3,4,4,4,4,666
68,2048,0.427,0.046,360,1517,1,0,2,1,25,4,3,4,4,3,623
138,2048,0.328,0.036,360,1519,1,0,3,1,26,5,5,4,5,5,221
17,1536,0.436,0.046,360,1521,1,0,6,1,39,3,5,3,4,4,630
143,2048,0.33,0.052,360,1521,1,0,7,1,47,5,5,5,5,5,899
68,1536,0.458,0.078,240,1526,1,0,2,1,25,4,4,3,3,3,115
41,2048,0.316,0.052,360,1526,2,2,2,1,23,4,5,5,5,5,413
144,1536,0.414,0.068,360,1531,1,0,4,1,41,5,5,5,5,5,222
44,2048,0.304,0.039,360,1536,1,0,2,1,22,4,5,5,4,5,463
17,2048,0.489,0.082,360,1538,1,0,3,1,39,3,4,4,4,4,528
70,1536,0.377,0.063,360,1543,1,0,2,1,18,4,4,5,5,5,570
75,1536,0.393,0.054,360,1546,2,2,3,1,17,4,3,4,4,4,731
38,2048,0.48,0.048,360,1549,2,2,2,0,19,4,5,5,5,5,397
145,1536,0.347,0.036,360,1550,2,2,9,1,25,5,5,4,4,4,621
38,2048,0.505,0.051,360,1553,2,2,4,0,19,4,5,5,5,5,573
38,1024,0.341,0.044,360,1553,1,0,2,0,19,3,5,3,4,3,378
49,1024,0.433,0.038,360,1556,2,2,6,1,24,3,5,4,4,4,494
144,2048,0.334,0.028,240,1557,2,2,8,1,41,5,5,4,4,4,50
75,1536,0.48,0.065,360,1559,1,0,2,1,17,4,5,5,4,5,392
142,1024,0.429,0.037,360,1567,2,2,5,1,36,5,5,4,3,4,564
132,2048,0.33,0.027,360,1568,2,2,5,1,30,4,5,5,5,5,897
80,1536,0.488,0.077,360,1577,2,2,6,1,21,3,4,4,4,4,196
10,2048,0.412,0.048,240,1579,2,2,6,0,25,3,5,3,4,3,119
82,2048,0.438,0.044,240,1580,2,2,2,1,26,4,5,4,4,4,71
18,2560,0.486,0.078,360,1584,1,0,2,1,33,4,5,4,4,4,662
78,2048,0.408,0.033,360,1586,2,2,2,1,19,3,5,4,4,4,563
79,2048,0.477,0.05,360,1586,2,2,2,1,25,3,5,4,4,4,563
94,2048,0.313,0.072,360,1589,2,2,4,1,26,4,5,5,5,5,528
151,1024,0.3,0.039,360,1594,2,2,3,1,33,4,5,3,4,4,732
45,1024,0.531,0.076,360,1595,2,2,2,1,23,3,5,5,3,5,413
82,1536,0.436,0.046,360,1602,2,2,2,1,26,4,5,5,4,3,442
81,2048,0.341,0.033,360,1610,2,2,2,1,18,3,5,4,4,4,457
27,3072,0.496,0.116,360,1614,1,0,2,1,27,3,5,5,5,5,578
67,2048,0.377,0.056,240,1616,2,2,2,1,26,4,5,4,4,4,115
46,1024,0.305,0.047,240,1619,2,2,6,1,25,4,5,4,4,4,119
89,1536,0.418,0.039,360,1621,2,2,1,0,23,3,5,4,4,4,187
42,2048,0.3,0.033,360,1621,1,0,6,1,26,4,5,5,5,5,408
135,2048,0.39,0.051,360,1621,2,2,5,1,25,4,5,4,3,4,1984
45,2048,0.332,0.032,360,1621,2,2,2,1,23,4,5,2,4,3,327
41,1024,0.308,0.055,360,1622,2,2,2,1,23,4,5,5,5,5,725
78,2560,0.48,0.073,360,1622,1,0,2,1,19,4,5,4,5,4,196
144,3584,0.334,0.065,360,1623,1,0,5,1,41,5,5,1,5,1,109
75,3072,0.284,0.032,360,1623,1,0,6,1,17,4,4,4,4,3,662
17,2560,0.386,0.052,360,1626,1,0,6,1,39,3,3,3,4,4,391
145,2048,0.403,0.06,360,1626,1,0,9,1,25,5,5,4,5,4,704
71,1024,0.377,0.063,360,1627,1,0,6,1,20,5,5,4,4,4,473
10,2048,0.439,0.072,360,1627,1,0,2,0,25,3,4,3,4,3,451
103,3072,0.274,0.039,360,1629,1,0,5,1,22,4,4,4,4,4,190
34,3072,0.454,0.051,360,1631,1,0,4,1,26,1,2,3,3,3,734
24,2048,0.302,0.046,360,1636,1,0,6,1,23,2,5,4,4,3,577
35,3072,0.435,0.049,360,1638,1,0,4,0,37,4,4,4,5,4,666
21,3584,0.348,0.043,360,1641,1,0,3,0,27,4,5,5,5,5,187
144,2048,0.349,0.068,360,1642,1,0,8,1,41,5,5,5,5,5,705
9,3072,0.499,0.018,360,1645,1,0,2,1,27,3,4,4,4,4,196
59,1024,0.403,0.06,360,1646,2,2,6,1,31,4,5,4,5,4,383
34,3072,0.318,0.027,360,1647,1,0,2,1,26,4,5,5,5,5,551
20,3072,0.318,0.027,360,1648,1,0,2,1,29,4,4,2,3,3,664
80,3584,0.333,0.034,360,1648,2,2,6,1,21,3,5,4,4,4,707
137,1024,0.407,0.061,360,1651,1,0,5,1,26,5,5,2,5,3,294
5,1024,0.487,0.036,360,1652,1,0,3,1,24,3,3,2,3,2,550
50,1536,0.527,0.056,360,1656,1,0,4,1,25,4,5,5,5,5,578
75,1536,0.285,0.054,360,1659,1,0,6,1,17,4,4,4,4,4,412
92,1024,0.274,0.039,360,1660,1,0,4,1,25,4,5,5,5,5,707
34,3072,0.411,0.032,360,1662,2,2,2,1,26,4,5,4,5,4,392
64,3584,0.319,0.05,360,1662,1,0,2,1,26,4,4,4,4,4,399
75,3072,0.444,0.049,360,1662,2,2,6,1,17,4,5,5,4,4,544
102,3072,0.309,0.03,360,1663,2,2,6,1,19,4,5,3,4,4,300
25,1536,0.386,0.052,360,1667,1,0,2,0,28,4,5,3,4,3,527
13,1536,0.285,0.054,360,1668,1,0,6,1,29,3,5,3,4,3,731
131,1536,0.45,0.033,360,1669,1,0,5,1,27,3,5,4,3,4,327
28,1024,0.465,0.08,360,1670,1,0,3,0,28,3,3,3,3,3,662
82,1024,0.411,0.032,360,1675,1,0,2,1,26,3,5,4,4,4,567
26,1024,0.483,0.034,360,1681,1,0,2,1,33,2,4,2,3,2,307
40,1024,0.48,0.073,360,1682,1,0,3,1,21,4,5,4,4,4,551
21,1024,0.48,0.054,360,1682,1,0,6,0,27,1,5,5,5,5,327
8,1536,0.433,0.032,240,1684,1,0,6,1,23,3,4,3,4,4,71
46,1536,0.481,0.041,360,1685,1,0,2,1,25,3,5,5,4,5,384
46,1536,0.483,0.064,360,1685,1,0,2,1,25,3,5,5,5,5,730
76,1024,0.309,0.03,360,1687,1,0,3,1,21,5,5,4,4,4,395
84,1536,0.456,0.042,360,1698,1,0,2,1,27,3,5,4,5,4,532
83,3072,0.421,0.058,360,1698,1,0,3,1,30,4,4,4,4,4,736
20,3584,0.289,0.037,360,1699,1,0,2,1,29,4,4,4,4,4,410
151,1536,0.354,0.065,360,1699,1,0,3,1,33,5,5,4,5,4,630
75,1024,0.328,0.049,360,1702,1,0,2,1,17,4,3,3,4,3,731
20,1024,0.454,0.051,360,1703,2,2,2,1,29,5,5,5,5,5,662
45,1024,0.435,0.071,360,1704,2,2,2,1,23,3,4,4,4,4,723
43,1536,0.393,0.026,360,1706,2,2,2,1,21,3,4,3,3,3,555
110,1536,0.324,0.032,360,1709,2,2,8,1,20,4,5,4,5,4,578
52,1024,0.487,0.062,360,1710,2,2,2,1,26,4,5,4,4,4,410
49,1536,0.37,0.035,360,1710,2,2,6,1,24,4,5,4,4,4,399
31,1536,0.47,0.084,240,1711,2,2,2,1,25,3,5,4,4,4,119
154,1536,0.433,0.032,360,1712,2,2,2,0,30,4,5,5,5,5,453
76,1536,0.304,0.043,360,1712,2,2,3,1,21,4,4,4,5,4,300
59,1536,0.497,0.084,360,1714,2,2,6,1,31,4,4,4,3,3,399
138,1536,0.477,0.057,360,1718,2,2,3,1,26,5,5,4,4,4,47
22,1536,0.363,0.063,360,1719,2,2,3,0,26,5,5,5,5,5,372
7,1024,0.303,0.043,360,1720,2,2,2,0,28,4,4,5,4,5,709
117,1536,0.289,0.037,360,1722,2,2,5,0,29,4,5,4,4,4,737
54,3072,0.408,0.033,360,1724,1,0,2,1,27,1,5,5,5,5,392
156,3584,0.502,0.058,240,1729,1,0,7,0,55,4,5,3,4,4,491
50,3072,0.407,0.063,240,1729,1,0,4,1,25,4,5,5,5,5,71
46,3072,0.377,0.056,360,1733,1,0,2,1,25,3,5,4,4,3,587
136,1536,0.461,0.041,360,1739,1,0,4,1,31,4,5,3,4,3,629
27,1536,0.393,0.055,360,1742,1,0,2,1,27,4,5,5,4,5,309
154,1536,0.357,0.065,360,1743,1,0,2,0,30,4,5,2,3,2,204
39,1024,0.435,0.069,360,1744,2,2,4,1,20,4,5,5,4,4,383
31,1024,0.454,0.08,360,1745,1,0,2,1,25,3,5,4,4,4,300
130,1024,0.426,0.047,360,1747,1,0,5,1,29,5,5,4,4,5,401
174,1536,0.494,0.124,360,1751,2,2,9,1,50,4,5,4,4,4,391
125,1024,0.424,0.068,360,1754,1,0,5,1,30,4,5,4,4,4,736
67,2048,0.502,0.033,360,1757,1,0,2,1,26,4,5,4,4,4,186
66,1024,0.472,0.085,360,1763,2,2,3,0,23,4,5,4,4,4,408
136,3072,0.48,0.074,360,1763,2,2,4,1,31,5,5,4,5,5,1552
35,2560,0.316,0.052,360,1764,1,0,4,0,37,5,5,4,3,4,730
110,3072,0.523,0.054,360,1769,2,2,5,1,20,5,5,2,3,2,98
11,3072,0.341,0.033,360,1771,1,0,2,1,27,3,5,4,5,4,649
64,3584,0.324,0.032,360,1771,1,0,6,1,26,3,5,5,4,4,414
19,3072,0.425,0.029,360,1775,1,0,2,1,27,3,5,5,5,5,413
26,3072,0.477,0.057,360,1780,1,0,2,1,33,4,5,5,4,5,552
64,3072,0.264,0.039,360,1781,1,0,2,1,26,5,5,5,5,5,196
42,2560,0.411,0.038,360,1782,2,2,6,1,26,4,5,4,5,3,628
47,1024,0.494,0.067,360,1785,1,0,2,1,26,3,5,5,5,5,206
7,1536,0.439,0.036,360,1788,1,0,2,0,28,4,5,5,4,5,733
65,1024,0.325,0.039,360,1792,1,0,3,1,26,5,5,5,3,3,409
117,1024,0.285,0.046,240,1793,2,2,5,0,29,4,5,4,4,4,115
95,1024,0.333,0.034,360,1797,1,0,5,1,19,3,3,2,4,3,529
156,3072,0.49,0.054,360,1799,2,2,7,0,55,4,5,2,3,2,109
19,3072,0.449,0.047,360,1805,1,0,6,1,27,3,5,4,3,4,565
39,2048,0.303,0.048,360,1808,1,0,4,1,20,4,5,4,5,4,736
137,3584,0.425,0.029,360,1811,1,0,5,1,26,4,4,3,3,3,231
64,2560,0.47,0.084,360,1812,1,0,2,1,26,4,4,4,4,4,531
72,3584,0.502,0.058,360,1814,2,2,3,1,20,4,5,5,5,5,544
157,1536,0.357,0.065,360,1816,2,2,8,0,30,4,5,5,4,5,217
33,3584,0.344,0.049,360,1817,1,0,4,1,26,1,4,4,4,4,732
150,3072,0.447,0.056,360,1820,1,0,5,1,55,3,3,4,4,3,732
4,3072,0.273,0.023,360,1822,2,2,3,1,38,4,5,4,4,4,567
12,3072,0.292,0.037,360,1822,2,2,2,1,28,4,5,3,4,3,393
134,3584,0.425,0.029,360,1826,2,2,5,1,26,4,5,4,4,4,1045
31,2560,0.305,0.061,360,1827,1,0,2,1,25,3,5,4,4,4,196
50,3072,0.376,0.046,360,1829,1,0,4,1,25,3,5,3,4,3,574
171,3072,0.487,0.042,360,1830,2,2,4,1,42,4,5,4,4,4,245
84,3072,0.379,0.073,360,1833,2,2,2,1,27,4,5,4,4,4,401
96,2560,0.516,0.064,360,1836,2,2,6,1,23,4,4,3,2,4,495
31,3584,0.465,0.071,360,1839,2,2,2,1,25,5,5,5,5,5,187
7,3072,0.304,0.039,360,1845,2,2,2,0,28,3,5,5,5,5,624
102,3072,0.462,0.043,360,1846,2,2,5,1,19,2,5,2,3,1,100
10,3072,0.424,0.046,360,1848,1,0,3,0,25,3,4,2,4,3,756
19,3072,0.319,0.05,360,1848,2,2,2,1,27,4,4,4,4,4,487
7,1024,0.349,0.068,360,1849,2,2,2,0,28,4,4,4,4,4,294
82,3072,0.328,0.052,360,1851,1,0,2,1,26,4,4,4,4,4,736
140,1024,0.36,0.043,360,1856,1,0,5,1,40,3,5,3,4,3,2001
19,1024,0.435,0.071,360,1858,1,0,6,1,27,1,5,5,5,5,391
65,1024,0.403,0.033,360,1858,1,0,2,1,26,4,4,4,4,3,730
56,1024,0.499,0.018,360,1860,1,0,3,1,27,2,4,5,4,5,557
71,1024,0.472,0.034,360,1862,1,0,3,1,20,4,4,2,4,3,793
22,1024,0.334,0.028,360,1864,1,0,6,0,26,3,5,5,5,5,578
9,1024,0.348,0.043,360,1865,1,0,2,1,27,4,4,4,4,4,400
136,1536,0.289,0.037,360,1867,1,0,4,1,31,4,5,2,3,2,75
