QoS_bandwidth,QoS_delay,QoS_jitter,V_content,V_complexity-class,QoA_resolution,QoA-bitrate,QoD_carte-class,QoD_ram-size,MOS
1024,0.36,0.043,1,0,144,79,2,4096,1
1024,0.435,0.071,1,0,144,79,1,4096,1
1024,0.403,0.033,1,0,144,79,2,4096,1
1024,0.499,0.018,1,0,144,79,2,4096,1
1024,0.472,0.034,1,0,144,79,2,4096,1
1024,0.334,0.028,1,0,144,79,1,4096,1
1024,0.348,0.043,1,0,144,79,1,4096,1
1536,0.289,0.037,1,0,144,79,3,1024,1
1536,0.439,0.036,1,0,144,79,2,4096,1
1536,0.486,0.078,1,0,144,79,1,4096,1
1536,0.354,0.065,1,0,144,84,1,4096,1
1024,0.48,0.065,2,2,240,85,1,4096,1
1536,0.395,0.07,2,2,144,86,3,1024,1
1536,0.432,0.046,1,0,144,93,3,1024,1
1536,0.483,0.064,1,0,144,104,1,4096,2
2048,0.45,0.033,1,0,240,263,3,1024,2
1536,0.487,0.036,1,0,240,315,2,4096,2
2048,0.31,0.048,1,0,240,331,3,1024,2
2048,0.304,0.043,1,0,240,372,2,4096,2
1024,0.41,0.053,1,0,240,377,2,4096,3
2048,0.332,0.032,1,0,240,377,1,4096,3
2048,0.487,0.042,1,0,240,377,1,4096,3
2048,0.324,0.041,1,0,240,388,3,1024,2
2048,0.403,0.06,1,0,240,388,2,4096,3
2048,0.487,0.062,1,0,240,389,1,4096,3
2048,0.48,0.048,1,0,240,396,1,4096,2
2048,0.407,0.061,1,0,240,396,2,4096,3
2048,0.334,0.028,1,0,240,396,1,4096,3
2048,0.435,0.093,1,0,240,476,3,1024,3
2048,0.386,0.052,2,2,240,529,1,4096,3
3072,0.454,0.051,1,0,360,564,1,4096,4
2048,0.335,0.036,2,2,240,571,3,1024,3
1024,0.393,0.026,1,0,360,607,2,4096,4
2048,0.444,0.084,2,2,240,619,1,4096,3
3072,0.324,0.032,1,0,360,626,1,4096,4
1024,0.426,0.049,2,2,240,671,2,4096,3
2560,0.302,0.054,2,2,240,689,3,1024,3
2560,0.415,0.054,2,2,360,711,2,4096,4
2048,0.489,0.072,1,0,240,732,1,4096,3
3072,0.273,0.023,1,0,240,736,3,1024,3
2048,0.304,0.043,1,0,360,752,2,4096,4
3584,0.49,0.054,1,0,480,754,1,4096,4
1024,0.286,0.048,2,2,240,770,3,1024,3
3584,0.439,0.036,2,2,480,785,2,4096,5
2560,0.395,0.07,1,0,480,795,3,1024,4
3584,0.358,0.045,1,0,480,808,3,1024,5
3072,0.424,0.05,2,2,360,845,2,4096,5
3584,0.307,0.049,1,0,480,859,2,4096,4
3072,0.447,0.056,2,2,480,924,1,4096,4
3072,0.334,0.065,2,2,360,968,1,4096,5
3584,0.285,0.054,2,2,480,968,1,4096,4
4096,0.328,0.039,1,0,720,1660,2,4096,5
4608,0.444,0.049,1,0,1080,1799,2,4096,5
3584,0.379,0.073,1,0,720,2209,1,4096,5
4096,0.455,0.033,2,2,1080,3498,1,4096,5
1536,0.48,0.065,1,0,144,101.2,1,4096,1
3072,0.358,0.045,1,0,240,1012.6,3,1024,3
1024,0.295,0.047,2,2,144,102.4,3,1024,2
1536,0.393,0.054,1,0,144,102.4,3,1024,2
1536,0.395,0.07,1,0,144,103.2,3,1024,2
3072,0.33,0.052,1,0,360,1032.6,3,1024,5
1024,0.394,0.045,2,2,144,104.6,2,4096,2
3072,0.49,0.054,1,0,360,1045.6,1,4096,4
3072,0.465,0.032,1,0,360,1045.6,1,4096,4
3072,0.456,0.042,1,0,360,1045.6,3,1024,5
3584,0.495,0.043,1,0,480,1045.6,1,4096,5
1536,0.502,0.063,2,2,144,105.4,1,4096,1
3072,0.346,0.096,1,0,360,1051.4,2,4096,4
1536,0.341,0.044,2,2,144,107.2,1,4096,2
1024,0.497,0.045,2,2,144,107.8,2,4096,2
2560,0.489,0.082,1,0,480,1083.6,1,4096,4
3584,0.411,0.032,1,0,480,1102.6,2,4096,4
1536,0.407,0.063,1,0,144,113.8,2,4096,2
3584,0.435,0.071,1,0,1080,1130.6,1,4096,4
1024,0.292,0.047,1,0,144,121.6,3,1024,2
3584,0.514,0.068,1,0,720,1261.75,1,4096,4
3584,0.502,0.058,1,0,720,1312.2,1,4096,4
3072,0.379,0.058,1,0,720,1340.6,1,4096,5
3072,0.379,0.058,1,0,720,1437.6,1,4096,4
3584,0.322,0.055,1,0,720,1590.8,1,4096,5
4096,0.346,0.096,1,0,720,1657.8,2,4096,5
3584,0.319,0.05,1,0,480,1678.4,3,1024,5
4096,0.39,0.059,1,0,720,1683.4,2,4096,5
4096,0.465,0.032,1,0,720,1742.2,1,4096,5
2048,0.39,0.059,1,0,240,1756.6,2,4096,3
4096,0.376,0.046,1,0,720,1776.2,2,4096,5
4096,0.465,0.071,1,0,1080,1799.2,1,4096,5
4096,0.477,0.05,1,0,1080,1799.4,1,4096,5
4096,0.344,0.049,1,0,720,1819.6,1,4096,5
4096,0.496,0.116,1,0,1080,1828.2,1,4096,5
3584,0.33,0.027,1,0,720,1851.8,1,4096,5
3072,0.487,0.042,1,0,720,1856.2,1,4096,3
3584,0.392,0.045,1,0,720,1879.5,2,4096,5
4096,0.455,0.033,1,0,720,1987.2,1,4096,5
4608,0.495,0.043,1,0,1080,1987.2,1,4096,5
4096,0.465,0.071,1,0,1080,2017.4,1,4096,5
4096,0.455,0.033,1,0,1080,2017.4,1,4096,5
3584,0.333,0.034,1,0,720,2020.8,3,1024,5
4096,0.292,0.047,1,0,1080,2038.2,3,1024,5
3584,0.312,0.049,2,2,1080,2045.8,1,4096,5
4096,0.444,0.049,1,0,720,2089.4,2,4096,5
4096,0.477,0.05,1,0,1080,2089.4,1,4096,5
4608,0.435,0.049,1,0,1080,2089.4,2,4096,5
3584,0.377,0.056,1,0,720,2102.8,1,4096,5
3584,0.322,0.055,1,0,1080,2154.4,1,4096,5
4096,0.334,0.065,1,0,1080,2517.4,1,4096,5
2048,0.339,0.035,1,0,240,263.2,3,1024,3
1536,0.301,0.037,1,0,240,265.6,2,4096,3
2048,0.438,0.04,1,0,240,266.2,2,4096,2
2048,0.408,0.033,1,0,240,283.6,2,4096,3
4096,0.496,0.116,2,2,720,2842.2,1,4096,5
4096,0.307,0.049,2,2,720,2885.2,2,4096,4
2048,0.48,0.074,1,0,240,292.2,1,4096,3
2048,0.469,0.066,1,0,240,308.8,1,4096,3
1536,0.37,0.035,1,0,240,311.8,3,1024,3
4608,0.328,0.039,2,2,1080,3135.8,2,4096,5
1536,0.303,0.065,1,0,240,315.6,3,1024,3
3584,0.33,0.052,2,2,720,3209.2,3,1024,5
2048,0.505,0.051,1,0,240,323.8,1,4096,3
2048,0.303,0.065,1,0,240,328.4,3,1024,3
2048,0.416,0.07,1,0,240,333.25,2,4096,2
2048,0.305,0.061,1,0,240,333.4,3,1024,3
4096,0.407,0.063,2,2,720,3403.6,2,4096,5
1536,0.534,0.053,1,0,240,341.25,3,1024,3
4608,0.495,0.043,2,2,1080,3421.2,1,4096,5
4608,0.344,0.049,2,2,1080,3437.8,1,4096,5
4608,0.39,0.059,2,2,1080,3479.4,2,4096,4
1024,0.328,0.052,1,0,240,351.8,3,1024,3
4096,0.465,0.032,2,2,720,3514.6,1,4096,4
4096,0.435,0.049,2,2,720,3711.8,2,4096,5
1024,0.308,0.055,1,0,240,375.2,1,4096,2
2048,0.449,0.047,1,0,240,375.2,3,1024,3
1024,0.3,0.039,1,0,240,375.4,2,4096,3
1536,0.436,0.046,1,0,240,375.4,2,4096,3
2048,0.497,0.045,1,0,240,375.4,2,4096,3
2048,0.415,0.054,1,0,240,375.4,2,4096,3
2048,0.477,0.057,1,0,240,375.4,1,4096,3
1024,0.323,0.037,1,0,240,376.2,1,4096,2
2048,0.292,0.037,1,0,240,376.6,2,4096,3
2048,0.481,0.041,1,0,240,376.6,1,4096,3
1024,0.482,0.082,1,0,240,376.8,1,4096,2
1024,0.305,0.047,1,0,240,377.2,3,1024,2
1536,0.371,0.08,1,0,240,377.2,3,1024,3
1536,0.494,0.067,1,0,240,377.4,1,4096,3
2048,0.487,0.062,1,0,240,377.4,1,4096,3
2048,0.326,0.061,1,0,240,383.8,1,4096,3
2048,0.328,0.039,1,0,240,384.8,2,4096,3
2048,0.379,0.073,1,0,240,384.8,1,4096,3
2048,0.307,0.049,1,0,240,386.4,2,4096,3
2048,0.421,0.058,1,0,240,387.8,2,4096,3
2048,0.399,0.07,1,0,240,389.2,1,4096,3
2048,0.427,0.046,1,0,240,393.25,2,4096,3
2048,0.328,0.036,1,0,240,393.25,3,1024,4
1536,0.436,0.046,1,0,240,393.6,2,4096,3
2048,0.33,0.052,1,0,240,393.8,3,1024,3
1536,0.458,0.078,1,0,240,395.8,1,4096,2
2048,0.316,0.052,2,2,240,399.6,3,1024,3
1536,0.414,0.068,1,0,240,405.25,1,4096,2
2048,0.304,0.039,1,0,240,405.6,2,4096,3
2048,0.489,0.082,1,0,240,426.6,1,4096,2
1536,0.377,0.063,1,0,240,429.2,3,1024,3
1536,0.393,0.054,2,2,240,441.4,3,1024,3
2048,0.48,0.048,2,2,240,455.6,1,4096,3
1536,0.347,0.036,2,2,240,460.75,1,4096,2
2048,0.505,0.051,2,2,240,487.4,1,4096,3
1024,0.341,0.044,1,0,480,490.2,1,4096,4
1024,0.433,0.038,2,2,240,498.4,2,4096,3
2048,0.334,0.028,2,2,240,498.4,1,4096,3
1536,0.48,0.065,1,0,720,531.4,1,4096,4
1024,0.429,0.037,2,2,240,534.5,2,4096,1
2048,0.33,0.027,2,2,240,537.4,1,4096,3
1536,0.488,0.077,2,2,240,564.4,1,4096,3
2048,0.412,0.048,2,2,240,564.4,2,4096,3
2048,0.438,0.044,2,2,240,566.5,1,4096,2
2560,0.486,0.078,1,0,1080,575.6,1,4096,4
2048,0.408,0.033,2,2,240,585.6,2,4096,3
2048,0.477,0.05,2,2,240,585.6,1,4096,3
2048,0.313,0.072,2,2,240,593.8,3,1024,3
1024,0.3,0.039,2,2,240,601.6,2,4096,3
1024,0.531,0.076,2,2,240,601.6,1,4096,3
1536,0.436,0.046,2,2,240,601.6,2,4096,3
2048,0.341,0.033,2,2,240,601.6,1,4096,3
3072,0.496,0.116,1,0,360,604.4,1,4096,5
2048,0.377,0.056,2,2,240,606.8,1,4096,3
1024,0.305,0.047,2,2,240,607.6,3,1024,3
1536,0.418,0.039,2,2,720,611.8,2,4096,4
2048,0.3,0.033,1,0,480,631.2,2,4096,4
2048,0.39,0.051,2,2,240,635.8,2,4096,3
2048,0.332,0.032,2,2,240,635.8,1,4096,3
1024,0.308,0.055,2,2,240,647.8,1,4096,3
2560,0.48,0.073,1,0,1080,660.4,1,4096,4
3584,0.334,0.065,1,0,480,670.6,1,4096,5
3072,0.284,0.032,1,0,480,677.25,3,1024,4
2560,0.386,0.052,1,0,480,699.6,1,4096,4
2048,0.403,0.06,1,0,480,704.4,2,4096,4
1024,0.377,0.063,1,0,480,705.2,3,1024,3
2048,0.439,0.072,1,0,360,707.75,1,4096,4
3072,0.274,0.039,1,0,360,708.8,3,1024,5
3072,0.454,0.051,1,0,480,715.6,1,4096,4
2048,0.302,0.046,1,0,480,720.4,3,1024,5
3072,0.435,0.049,1,0,360,721.2,2,4096,4
3584,0.348,0.043,1,0,480,724.2,1,4096,4
2048,0.349,0.068,1,0,480,725.6,3,1024,4
3072,0.499,0.018,1,0,480,733.8,2,4096,4
1024,0.403,0.06,2,2,360,771.2,2,4096,2
3072,0.318,0.027,1,0,360,772.2,2,4096,4
3072,0.318,0.027,1,0,360,772.2,2,4096,4
3584,0.333,0.034,2,2,480,777.8,3,1024,5
1024,0.407,0.061,1,0,144,78.4,2,4096,2
1024,0.487,0.036,1,0,144,78.4,2,4096,2
1536,0.527,0.056,1,0,144,78.4,2,4096,2
1536,0.285,0.054,1,0,144,78.6,1,4096,2
1024,0.274,0.039,1,0,144,78.8,3,1024,2
3072,0.411,0.032,2,2,360,781.4,2,4096,5
3584,0.319,0.05,1,0,480,782.2,3,1024,5
3072,0.444,0.049,2,2,360,784.6,2,4096,4
3072,0.309,0.03,2,2,480,784.6,2,4096,4
1536,0.386,0.052,1,0,240,789.8,1,4096,1
1536,0.285,0.054,1,0,144,79.2,1,4096,2
1536,0.45,0.033,1,0,144,79.2,3,1024,2
1024,0.465,0.08,1,0,144,79.4,3,1024,1
1024,0.411,0.032,1,0,144,79.4,2,4096,1
1024,0.483,0.034,1,0,144,79.4,2,4096,1
1024,0.48,0.073,1,0,144,79.4,1,4096,1
1024,0.48,0.054,1,0,144,79.4,1,4096,1
1536,0.433,0.032,1,0,144,79.4,2,4096,1
1536,0.481,0.041,1,0,144,79.4,1,4096,1
1536,0.483,0.064,1,0,144,79.4,1,4096,1
1024,0.309,0.03,1,0,144,79.4,2,4096,2
1536,0.456,0.042,1,0,144,79.4,3,1024,2
3072,0.421,0.058,1,0,360,790.2,2,4096,4
3584,0.289,0.037,1,0,480,793.6,3,1024,4
1536,0.354,0.065,1,0,144,80.2,1,4096,1
1024,0.328,0.049,1,0,144,80.2,3,1024,3
1024,0.454,0.051,2,2,144,80.4,1,4096,1
1024,0.435,0.071,2,2,144,80.4,1,4096,1
1536,0.393,0.026,2,2,144,80.4,2,4096,1
1536,0.324,0.032,2,2,144,80.4,1,4096,1
1024,0.487,0.062,2,2,144,80.4,1,4096,2
1536,0.37,0.035,2,2,144,80.4,3,1024,2
1536,0.47,0.084,2,2,144,80.4,3,1024,2
1536,0.433,0.032,2,2,144,80.4,2,4096,2
1536,0.304,0.043,2,2,144,80.4,2,4096,2
1536,0.497,0.084,2,2,144,80.4,1,4096,2
1536,0.477,0.057,2,2,144,80.4,1,4096,2
1536,0.363,0.063,2,2,144,80.4,1,4096,2
1024,0.303,0.043,2,2,144,80.6,3,1024,2
1536,0.289,0.037,2,2,144,80.6,3,1024,2
3072,0.408,0.033,1,0,360,803.8,2,4096,4
3584,0.502,0.058,1,0,480,804.2,1,4096,5
3072,0.407,0.063,1,0,360,804.6,2,4096,4
3072,0.377,0.056,1,0,360,807.6,1,4096,4
1536,0.461,0.041,1,0,144,81.8,3,1024,2
1536,0.393,0.055,1,0,144,81.8,3,1024,2
1536,0.357,0.065,1,0,144,81.8,3,1024,2
1024,0.435,0.069,2,2,144,82.25,1,4096,1
1024,0.454,0.08,1,0,144,82.25,1,4096,1
1024,0.426,0.047,1,0,144,82.25,1,4096,1
1536,0.494,0.124,2,2,144,82.25,2,4096,1
1024,0.424,0.068,1,0,144,82.25,2,4096,2
2048,0.502,0.033,1,0,240,82.25,3,1024,2
1024,0.472,0.085,2,2,240,82.25,1,4096,1
3072,0.48,0.074,2,2,360,823.2,1,4096,4
2560,0.316,0.052,1,0,480,824.2,3,1024,4
3072,0.523,0.054,2,2,480,831.25,3,1024,5
3072,0.341,0.033,1,0,360,839.8,1,4096,5
3584,0.324,0.032,1,0,480,839.8,1,4096,4
3072,0.425,0.029,1,0,360,843.2,2,4096,3
3072,0.477,0.057,1,0,360,843.4,1,4096,5
3072,0.264,0.039,1,0,360,844.5,3,1024,4
2560,0.411,0.038,2,2,360,848.25,2,4096,5
1024,0.494,0.067,1,0,144,85.2,1,4096,1
1536,0.439,0.036,1,0,144,85.2,2,4096,1
1024,0.325,0.039,1,0,144,85.2,1,4096,2
1024,0.285,0.046,2,2,144,85.4,2,4096,2
1024,0.333,0.034,1,0,144,85.8,3,1024,2
3072,0.49,0.054,2,2,360,850.2,1,4096,4
3072,0.449,0.047,1,0,480,865.6,3,1024,4
2048,0.303,0.048,1,0,360,869.6,3,1024,4
3584,0.425,0.029,1,0,480,875.2,2,4096,4
2560,0.47,0.084,1,0,480,895.2,3,1024,5
3584,0.502,0.058,2,2,480,895.8,1,4096,4
1536,0.357,0.065,2,2,144,90.6,3,1024,2
3584,0.344,0.049,1,0,480,905.8,1,4096,4
3072,0.447,0.056,1,0,360,920.4,1,4096,4
3072,0.273,0.023,2,2,480,921.8,3,1024,5
3072,0.292,0.037,2,2,360,938.6,2,4096,5
3584,0.425,0.029,2,2,480,938.6,2,4096,4
2560,0.305,0.061,1,0,360,951.6,3,1024,5
3072,0.376,0.046,1,0,360,958.6,2,4096,4
3072,0.487,0.042,2,2,360,968.2,1,4096,4
3072,0.379,0.073,2,2,360,968.2,1,4096,5
2560,0.516,0.064,2,2,480,968.2,1,4096,4
3584,0.465,0.071,2,2,480,968.2,1,4096,5
3072,0.304,0.039,2,2,480,969.6,2,4096,4
3072,0.462,0.043,2,2,360,974.25,1,4096,4
3072,0.424,0.046,1,0,360,974.4,2,4096,5
3072,0.319,0.05,2,2,360,978.2,3,1024,5
1024,0.349,0.068,2,2,144,98.4,3,1024,2
3072,0.328,0.052,1,0,480,985.8,3,1024,4